,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,51,14.05,11.575,9.2975,44.8,13.0,9.5875,9.99404761904762,1.5,18.25
1,52,0.0,12.4,10.17,43.75,12.25,10.5666666666667,10.952380952381,3.5,17.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,19.6125,18.625,10.8425,43.425,11.25,11.5833333333333,12.1797619047619,3.75,15.75
4,3,22.025,11.55,9.16,44.1,11.75,12.3125,13.0360119047619,1.0,18.25
5,4,25.925,15.575,11.6,44.475,14.0,13.0083333333333,13.875,2.25,17.75
6,5,28.225,15.25,10.0075,41.875,13.75,13.975,14.3928571428571,1.5,22.0
7,6,28.275,18.25,11.3525,43.075,12.75,14.7,15.315873015873,2.25,20.5
8,7,21.275,14.5,10.5325,41.6,15.5,15.5875,16.2900432900433,1.66666666666667,22.0
9,8,22.9499999999999,16.375,10.0,41.575,11.5,15.9375,16.6625,3.75,21.25
10,9,23.675,12.1666666666667,7.12,38.0,14.25,16.6992424242424,17.6488095238095,2.75,21.0
11,10,25.1,10.95,8.22,37.65,14.0,17.5357142857143,18.3962662337662,1.75,24.25
12,11,22.525,11.6,6.48,34.1,12.0,18.4055555555556,19.35,3.66666666666667,22.0
13,12,21.45,7.5,5.7475,34.625,15.25,19.55,20.2,2.0,22.75
