,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,49,22.8166666666667,24.7166666666667,13.2566666666667,51.85,12.3333333333333,10.0,10.3666666666667,0.0,18.1666666666667
1,50,18.8,20.3,11.0783333333333,52.4166666666667,11.8333333333333,10.468253968254,11.2583333333333,0.0,17.3333333333333
2,51,22.1,36.8,0.0,51.3666666666667,7.83333333333333,11.0666666666667,11.62,0.0,17.8333333333333
3,52,20.4,26.6,12.2383333333333,50.5666666666667,10.6666666666667,11.8214285714286,12.3866666666667,0.0,19.6666666666667
4,1,17.4666666666667,0.0,12.7616666666667,51.65,10.6666666666667,12.5,12.9416666666667,0.0,18.6666666666667
5,2,17.9166666666667,31.3833333333333,0.0,51.3833333333333,10.5,13.1111111111111,13.5933333333333,0.0,17.5
6,3,23.3166666666667,26.6333333333333,0.0,50.65,10.5,13.8888888888889,14.3516666666667,0.0,19.5
7,4,20.6666666666667,34.28,12.545,50.5833333333333,8.66666666666667,14.3888888888889,15.14,0.0,19.5
8,5,25.2333333333333,0.0,12.4533333333333,49.5666666666667,10.6666666666667,15.5555555555556,16.0533333333333,0.0,21.5
9,6,25.1333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3333333333333
10,7,25.1333333333333,34.54,12.3133333333333,47.0166666666667,12.3333333333333,16.7777777777778,17.3866666666667,0.0,22.1666666666667
11,8,26.0833333333333,25.38,12.1966666666667,45.9833333333333,12.0,17.5555555555556,18.2716666666667,0.0,21.3333333333333
12,9,21.55,0.0,12.565,47.8166666666667,10.0,18.5555555555556,19.0766666666667,0.0,23.0
13,10,25.3,0.0,13.0133333333333,48.6,9.66666666666667,19.2430555555556,20.0266666666667,0.0,21.8333333333333
14,11,22.5166666666667,31.12,11.8066666666667,44.9333333333333,9.5,20.1944444444444,20.655,0.0,21.1666666666667
