,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,52,15.5666666666667,22.3333333333333,9.67833333333333,40.3333333333333,9.33333333333333,7.58333333333333,7.83333333333333,0.0,18.3333333333333
1,1,15.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,15.125,29.1666666666667,10.155,42.6833333333333,8.83333333333333,8.25,8.43,0.0,13.6666666666667
3,3,17.0,37.45,10.5416666666667,42.8666666666667,6.5,8.555,9.03333333333333,0.0,11.6666666666667
4,4,18.4166666666667,27.76,11.1383333333333,41.2666666666667,8.5,9.36,9.88833333333333,0.0,11.8333333333333
5,5,20.4666666666667,28.1666666666667,10.82,39.6166666666667,10.5,10.335,10.8883333333333,0.0,13.1666666666667
6,6,20.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,21.1666666666667,28.5,11.84,39.5,10.6666666666667,11.8888888888889,12.4416666666667,0.0,15.3333333333333
8,8,20.9,24.65,11.3066666666667,39.3,11.6666666666667,12.6666666666667,13.1066666666667,0.0,16.8333333333333
9,9,21.9166666666667,24.6333333333333,10.8616666666667,38.0833333333333,10.6666666666667,13.4444444444444,13.8233333333333,0.0,18.6666666666667
10,10,16.7,31.1333333333333,11.3066666666667,38.0333333333333,11.3333333333333,14.0833333333333,14.5266666666667,0.0,20.3333333333333
11,11,24.4166666666667,31.1,11.15,37.0833333333333,10.6666666666667,14.7777777777778,15.3033333333333,0.0,19.1666666666667
12,12,19.8333333333333,23.5833333333333,9.78166666666667,37.8333333333333,13.8333333333333,15.5694444444444,16.1633333333333,0.0,20.5
13,13,22.8333333333333,27.0,10.3933333333333,31.5,12.1666666666667,16.4444444444444,16.8483333333333,0.0,20.8333333333333
14,14,25.25,26.8333333333333,9.55166666666667,36.8333333333333,10.5,17.1916666666667,17.4516666666667,0.0,21.5
