,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,49,18.0333333333333,27.6555555555556,9.78222222222222,46.3,8.66666666666667,8.81481481481482,9.39588888888889,0.0,15.8888888888889
1,50,10.1,20.8888888888889,9.24777777777778,45.6166666666667,8.22222222222222,9.03518518518518,9.86666666666667,0.0,15.4444444444444
2,51,10.7222222222222,23.4111111111111,8.92333333333333,45.7666666666667,8.0,9.60185185185185,10.5277777777778,0.0,14.6666666666667
3,52,17.2333333333333,17.1,8.54222222222222,44.3166666666667,8.11111111111111,10.5685185185185,10.9995555555556,0.0,16.1111111111111
4,1,12.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1111111111111
5,2,12.2222222222222,29.6888888888889,8.73666666666667,46.3333333333333,7.33333333333333,11.2814814814815,11.4755555555556,0.0,14.8888888888889
6,3,15.8222222222222,30.4,10.0177777777778,47.2833333333333,6.55555555555556,11.7111111111111,11.9722222222222,0.0,14.4444444444444
7,4,14.0888888888889,28.8777777777778,10.46,47.25,7.22222222222222,12.1203703703704,12.4644444444444,0.0,14.8888888888889
8,5,16.3555555555556,27.6777777777778,10.3677777777778,45.25,7.33333333333333,12.8240740740741,13.2022222222222,0.0,14.8888888888889
9,6,18.8777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
10,7,18.8777777777778,25.8111111111111,10.7044444444444,40.1833333333333,9.44444444444444,14.0917989417989,14.4522222222222,0.0,16.8888888888889
11,8,20.2777777777778,25.6,10.64,41.1666666666667,9.11111111111111,14.8407407407407,15.1744444444444,0.0,17.4444444444444
12,9,18.9444444444444,34.5666666666667,11.5555555555556,39.9833333333333,8.55555555555556,15.3198412698413,15.6711111111111,0.0,19.1111111111111
13,10,23.1222222222222,27.8222222222222,10.29,38.8,11.1111111111111,16.1842592592593,16.4222222222222,0.0,21.1111111111111
14,11,25.3666666666667,24.5777777777778,8.98222222222222,34.8833333333333,13.2222222222222,16.8402116402116,17.2833333333333,0.0,19.8888888888889
