,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,48,19.2333333333333,30.0090909090909,10.5841666666667,46.7916666666667,9.83333333333333,9.05333333333333,9.30333333333333,0.0,18.4166666666667
1,49,17.85,34.84,10.6333333333333,46.5916666666667,8.25,9.41583333333333,9.80416666666667,0.0,15.75
2,50,13.9666666666667,32.96,10.2766666666667,47.75,8.0,9.77583333333333,10.3308333333333,0.0,15.9166666666667
3,51,17.0583333333333,33.6,9.77666666666667,48.0833333333333,8.58333333333333,10.415,10.72,0.0,16.3333333333333
4,52,16.525,32.5083333333333,10.3733333333333,46.4333333333333,8.91666666666667,11.0533333333333,11.1933333333333,0.0,15.3333333333333
5,1,16.2208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,16.2208333333333,29.7333333333333,10.6116666666667,45.1666666666667,9.75,11.9175,12.4433333333333,0.0,14.1666666666667
7,3,15.8333333333333,30.7583333333333,11.7316666666667,43.5916666666667,8.75,12.4991666666667,13.0825,0.0,13.6666666666667
8,4,16.9083333333333,31.6583333333333,12.3183333333333,44.2583333333333,9.91666666666667,13.1116666666667,13.6241666666667,0.0,13.8333333333333
9,5,18.0083333333333,32.8909090909091,12.5825,42.7666666666667,10.4166666666667,13.7641666666667,14.4583333333333,0.0,13.5833333333333
10,6,20.4,27.9272727272727,12.3941666666667,39.2833333333333,12.5,14.6666666666667,15.1033333333333,0.0,14.6666666666667
11,7,16.8583333333333,33.4166666666667,13.1333333333333,40.9916666666667,12.8333333333333,15.3055555555556,15.6066666666667,0.0,15.8333333333333
12,8,19.425,26.73,12.8633333333333,42.253,14.3333333333333,15.8888888888889,16.3591666666667,0.0,15.75
13,9,19.8833333333333,30.9818181818182,12.4791666666667,40.8333333333333,13.3333333333333,16.6041666666667,17.0475,0.0,17.25
14,10,23.625,22.3666666666667,10.6208333333333,40.4166666666667,14.8333333333333,17.3222222222222,17.8883333333333,0.0,17.5
