,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,47,12.1666666666667,18.3333333333333,12.0366666666667,48.1666666666667,9.33333333333333,0.0,0.0,0.0,17.5
1,48,11.8333333333333,21.3333333333333,13.0433333333333,49.6666666666667,10.0,0.0,0.0,0.0,10.0
2,49,11.8333333333333,22.5,13.5983333333333,49.3333333333333,10.6666666666667,0.0,0.0,0.0,18.1666666666667
3,50,11.0,18.8333333333333,12.6066666666667,48.5,10.3333333333333,0.0,0.0,0.0,17.1666666666667
4,51,11.1666666666667,17.0,12.7316666666667,46.5,8.66666666666667,0.0,0.0,0.0,17.6666666666667
5,52,9.33333333333333,20.8333333333333,12.6366666666667,44.6666666666667,10.3333333333333,0.0,0.0,0.0,16.6666666666667
6,1,10.3333333333333,23.5,13.1733333333333,44.3333333333333,8.16666666666667,0.0,0.0,0.0,16.1666666666667
7,2,12.3333333333333,18.0,12.14,42.3333333333333,9.5,0.0,0.0,0.0,16.3333333333333
8,3,10.3333333333333,23.5,13.315,44.1666666666667,10.1666666666667,0.0,0.0,0.0,15.8333333333333
9,4,15.0,25.1666666666667,13.8733333333333,42.0,9.5,0.0,0.0,0.0,16.5
10,5,14.5,20.0,0.0,42.1666666666667,9.5,0.0,0.0,0.0,18.1666666666667
11,6,15.5,31.0,0.0,43.0,9.83333333333333,0.0,0.0,0.0,19.3333333333333
12,7,14.6666666666667,14.6666666666667,13.75,43.0,11.8333333333333,0.0,0.0,0.0,19.3333333333333
13,8,20.3333333333333,20.0,13.1483333333333,43.3333333333333,12.8333333333333,0.0,0.0,0.0,20.8333333333333
14,9,15.3333333333333,31.1666666666667,0.0,43.8333333333333,11.1666666666667,0.0,0.0,0.0,20.6666666666667
