,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,6,21.8666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,25.8166666666667,29.84,12.9583333333333,45.0666666666667,11.5,8.425,8.99333333333333,0.0,24.6666666666667
2,8,24.4166666666667,18.65,12.6366666666667,45.5333333333333,12.5,9.55833333333333,10.0433333333333,0.0,25.1666666666667
3,9,23.7666666666667,0.0,14.91,46.0833333333333,11.6666666666667,10.1825396825397,10.5483333333333,0.0,24.8333333333333
4,10,23.3333333333333,0.0,0.0,46.3333333333333,14.5,10.8988095238095,11.445,0.0,25.1666666666667
5,11,20.8666666666667,26.0833333333333,13.9016666666667,46.0,12.1666666666667,11.5238095238095,12.3016666666667,0.0,27.0
6,12,24.05,21.75,12.94,45.5,14.6666666666667,12.75,13.2816666666667,0.0,26.8333333333333
7,13,18.75,22.5,11.595,44.8333333333333,16.6666666666667,13.5555555555556,14.0966666666667,0.0,27.1666666666667
8,14,24.25,23.3333333333333,0.0,45.6666666666667,17.0,14.3291005291005,15.0783333333333,0.0,26.6666666666667
9,15,21.5833333333333,20.6666666666667,12.3683333333333,44.3333333333333,18.8333333333333,15.3958333333333,15.83,0.0,25.1666666666667
10,16,21.8333333333333,24.4166666666667,12.7633333333333,45.6666666666667,18.0,16.2714285714286,16.7466666666667,0.0,24.6666666666667
11,17,22.2333333333333,18.3833333333333,11.7933333333333,46.25,19.1666666666667,17.0009920634921,17.7216666666667,0.0,23.3333333333333
12,18,23.0,20.8333333333333,0.0,46.5,19.3333333333333,18.0571428571429,18.565,0.0,22.6666666666667
13,19,24.5833333333333,20.0833333333333,10.6783333333333,46.0833333333333,20.0,18.9880952380952,19.5233333333333,0.0,20.0
14,20,0.0,0.0,0.0,0.0,18.8333333333333,19.6599206349206,20.245,0.0,24.3333333333333
