제어번호,제목,저자,발행처,발행년도,ISBN번호,분류기호,대출횟수
1300732,체리새우 :비밀글입니다 : 황영미 장편소설,황영미 지음,문학동네,2019,9.78895E+12,8,7
1341526,피프티 피플 :정세랑 장편소설,정세랑 지음,창비,2016,9.78894E+12,8,7
1383291,하쿠바산장 살인사건,히가시노 게이고 지음,RHK(알에이치코리아),2020,9.78893E+12,8,7
6213,(부자 아빠 기요사키가 말하는) 부자들의 음모,로버트 기요사키 지음,흐름출판,2011,9.78899E+12,3,6
1341226,(설민석의) 통일 대모험 .상 분단 편 - 설쌤! 왜 통일을 해야 하죠?,설민석,아이휴먼 : 휴먼큐브,2018,9.79119E+12,9,6
1360299,(신비아파트) 공포인공지능탈출 :AI 과학 상식,박동명 글,서울문화사,2019,9.79116E+12,4,6
1234493,12가지 인생의 법칙 :혼돈의 해독제,조던 B. 피터슨 지음,메이븐,2018,9.7912E+12,1,6
1240130,걷는 사람 하정우,하정우 글?사진,문학동네,2018,9.78895E+12,8,6
1396967,공부란 무엇인가,김영민 지음,어크로스,2020,9.79119E+12,0,6
1473693,그녀는 다 계획이 있다 :히가시노 게이고 장편소설,히가시노 게이고 지음,하빌리스: 대원씨아이,2021,9.79114E+12,8,6
1321588,기묘한 신혼여행 :히가시노 게이고 외,히가시노 게이고 등저,문학의문학,2019,9.79119E+12,8,6
995349,기사단장 죽이기 :무라카미 하루키 장편소설 .1 현현하는 이데아,무라카미 하루키 [지음],문학동네,2017,9.78895E+12,8,6
1024627,나는 질병없이 살기로 했다 :독소를 청소하면 왜 병과 비만은 사라지는가?,하비 다이아몬드 지음,사이몬북스,2017,9.79119E+12,5,6
1460749,니클의 소년들 :콜슨 화이트헤드 장편소설,콜슨 화이트헤드 지음,은행나무,2020,9.79119E+12,8,6
1228377,당신이 옳다 :정혜신 적정심리학,정혜신 지음,해냄출판사,2018,9.78897E+12,1,6
1318628,대도시의 사랑법 :박상영 연작소설,박상영 [지음],창비,2019,9.78894E+12,8,6
1295466,대한민국 청약지도 :한 권으로 끝내는 청약 당첨 전략의 모든 것,정지영 지음,다산북스,2019,9.79113E+12,3,6
1267669,디디의 우산 :황정은 연작소설,황정은 [지음],창비,2019,9.78894E+12,8,6
1342963,루팡의 딸,요코제키 다이 지음,북플라자,2019,9.789E+12,8,6
35655,모순 :양귀자 장편소설,양귀자 지음,살림출판사,1998,8985577921,8,6
1048102,무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게,정문정 지음,가나문화콘텐츠 : 가나출판사,2018,9.78896E+12,1,6
1013800,범인 없는 살인의 밤 :빗나간 욕망이 부른 일곱 번의 살인 사건,히가시노 게이고 [지음],알에이치코리아,2017,9.78893E+12,8,6
1475938,변두리 로켓 .[4] 야타가라스,이케이도 준 지음,인플루엔셜,2021,9.79119E+12,8,6
970990,부의 추월차선 :30대에 억대 연봉을 만드는 55가지 역발상 .[2] 직장인 편,고도 토키오 지음,북새통: 토트출판사,2017,9.79119E+12,3,6
1303893,숨 :테드 창 소설,테드 창 [지음],엘리 : 북하우스 퍼블리셔스,2019,9.79116E+12,8,6
1313633,시간은 흐르지 않는다 :우리의 직관 너머 물리학의 눈으로 본 우주의 시간,카를로 로벨리 지음,쌤앤파커스,2019,9.78897E+12,4,6
1478795,아들아 돈 공부해야 한다 :50억 부자 아빠의 현실 경제 수업,정선용 지음,RHK(알에이치코리아),2021,9.78893E+12,3,6
1271611,아무튼 비건,김한민 [지음],위고,2018,9.79119E+12,5,6
1240533,아침에는 죽음을 생각하는 것이 좋다,김영민 [지음],어크로스,2018,9.79116E+12,8,6
1462883,암살자 :이원호 장편소설 .2 서울,이원호 지음,한결미디어,2021,9.79116E+12,8,6
1271073,오늘은 이만 좀 쉴게요,손힘찬 [지음],부크럼,2019,9.79116E+12,8,6
844472,죽여 마땅한 사람들,피터 스완슨 지음,푸른숲,2016,9.79116E+12,8,6
1303915,죽음 :베르나르 베르베르 장편소설 .2,베르나르 베르베르 [지음],열린책들,2019,9.78893E+12,8,6
1359825,지적 대화를 위한 넓고 얕은 지식 .2 현실 너머-철학?과학?예술?종교?신비,채사장 지음,Whale Books(웨일북),2020,9.79119E+12,0,6
1359084,지적 대화를 위한 넓고 얕은 지식 :0 : 지혜를 찾아 138억 년을 달리는 시간 여행서 .[3],채사장 지음,웨일북(Whale Books),2019,9.79119E+12,0,6
1339752,청기와주유소 씨름 기담 :정세랑 소설,정세랑 [지음],창비,2019,9.78894E+12,8,6
495699,총 균 쇠 :무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,재레드 다이아몬드 지음,문학사상,2013,9.78897E+12,3,6
1332798,코스모스,칼 세이건 지음,사이언스북스,2006,9.78898E+12,4,6
2476,탐정 갈릴레오 :히가시노 게이고 소설,히가시노 게이고 [지음],재인,2009,9.78899E+12,8,6
1280251,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,한스 로슬링,김영사,2019,9.78893E+12,1,6
1473769,평범한 결혼생활 :임경선 산문,임경선 지음,토스트,2021,9.7912E+12,8,6
714404,한국이 싫어서 :장강명 장편소설,장강명 지음,민음사,2015,9.78894E+12,8,6
1314603,항구의 사랑 :김세희 장편소설,김세희 [지음],민음사,2019,9.78894E+12,8,6
964054,호모 데우스 :미래의 역사,유발 하라리 [지음],김영사,2017,9.78893E+12,3,6
1415581,(2020 '작가'가 선정한) 오늘의 소설,조해진 외 지음,작가,2020,9.79119E+12,8,5
1473103,(강흥보의) ETF 투자특강 :왕초보부터 초고수까지 수익을 내는 투자의 정석,강흥보 지음,한스미디어: 한즈미디어,2021,9.79116E+12,3,5
1383732,(나를 숨 쉬게 하는) 보통의 언어들,김이나 지음,위즈덤하우스,2020,9.79119E+12,8,5
1416135,(뉴욕주민의) 진짜 미국식 주식투자 :현직 월스트리트 트레이더가 알려주는 투자의 정석,뉴욕주민 지음,비즈니스북스,2020,9.79116E+12,3,5
1334920,(무엇이든 해결단) 허팝 연구소 .5 곤충 숲 미스터리 대소동,라곰씨 글,라이카미: 부즈펌,2019,9.79119E+12,4,5
972474,(부자언니) 부자연습 :가난한 공주 부자되기 프로젝트,유수진 지음,세종서적,2017,9.78898E+12,3,5
1341227,(설민석의) 통일 대모험 .하 통일 편 - 설쌤! 통일 한반도가 궁금해요!,설민석,아이휴먼 : 휴먼큐브,2018,9.79119E+12,9,5
1334492,(신비아파트) 공포이상기후탈출 :이상 기후 과학 상식,유경원 글,서울문화사,2019,9.79116E+12,4,5
1334643,(신비아파트) 한자귀신 :오싹 공포 한자 학습 만화 .5 의문의 전학생,김강현 글,서울문화사,2019,9.79116E+12,7,5
1329932,(이상한 과자 가게) 전천당 .1,히로시마 레이코 글,길벗스쿨,2019,9.79116E+12,8,5
1348877,(이상한 과자 가게) 전천당 .3,히로시마 레이코 글,길벗스쿨,2019,9.79116E+12,8,5
1375727,(이상한 과자 가게) 전천당 .5,히로시마 레이코 글,길벗스쿨,2020,9.79116E+12,8,5
1375728,(이상한 과자 가게) 전천당 .6,히로시마 레이코 글,길벗스쿨,2020,9.79116E+12,8,5
1398445,(이상한 과자 가게) 전천당 .8,히로시마 레이코 글,길벗스쿨,2020,9.79116E+12,8,5
1094170,(전설로 떠나는) 월가의 영웅 :주식투자에서 상식으로 성공하는 법,피터 린치,국일증권경제연구소,2017,9.78896E+12,3,5
1321754,(최고를 만드는) 하루사용법 :건강과 일에서 120% 성과를 내는 시간표: strongest timetable,나가누마 타카노리 지음,새로운 제안,2019,9.78896E+12,3,5
921226,(추리 천재) 엉덩이 탐정 .2 어둠 속으로 사라진 거인,트롤 글?그림,미래엔(MiraeN): MiraeN 아이세움,2016,9.78894E+12,8,5
1329511,(추리 천재) 엉덩이 탐정 .8 괴도와 납치된 신부 사건,트롤 글?그림,미래엔(MiraeN): 아이세움,2019,9.79116E+12,8,5
1334947,(쿠키런(Cookierun)) 세계사 .3 고대 그리스 : 아테네 스파르타 알렉산더 대왕,동림스토리 글,서울문화사,2019,9.79116E+12,9,5
1474988,(타이난 골목) 노포 산책 :낭만이 깃든 작고 오래된 가게 노포 탐방기,천구이팡 글?그림,페이퍼스토리,2021,9.789E+12,9,5
1402698,(하비 다이아몬드 박사의) 자연치유 불변의 법칙 :독소가 빠지면 비만과 질병은 저절로 사라진다,하비 다이아몬드 지음,사이몬북스,2020,9.79119E+12,5,5
1231287,(하워드 막스) 투자와 마켓 사이클의 법칙 :주식시장의 흐름을 꿰뚫어보는 단 하나의 투자 바이블,하워드 막스 지음,비즈니스북스,2018,9.79116E+12,3,5
1473691,(할까 말까 망설이는) 미국 주식? 나 혼자 산다! :feat. 어쩌면 모르고,서정아 지음,타래,2021,9.78898E+12,3,5
1478780,1등기업 주식을 사라 :애플 마이크로소프트 아마존닷컴 알파벳 페이스북 P&G 등 글로벌 1등기업에 투자해야 하는 이유와 투자법 수익을 지키는 팁까지,이일영 지음,스마트북스,2021,9.79119E+12,3,5
303414,28 :정유정 장편소설,지은이: 정유정,은행나무,2013,9.78896E+12,8,5
1463120,50 :홍정욱 에세이,홍정욱 지음,위즈덤하우스,2021,9.79119E+12,8,5
1398368,ETF 투자 무작정 따라하기 :한 번에 잃을 걱정 없이 작은 돈으로 시작하는 주식투자,윤재수 지음,길벗,2020,9.79117E+12,3,5
